1,39E+12;POSTO MODELO;AVENIDA MANOEL INACIO PEIXOTO,624;;BEIRA RIO;CATAGUASES;MG;DIESEL S10;3,799;17/04/19 16:21;2020-04-21
1,42E+12;POSTO 10;RODOVIA BR 343 KM 10,S/N;;RODOVIA;TERESINA;PI;GASOLINA C COMUM;4,399;17/06/19 11:12;2020-04-21
1,42E+12;POSTO 10;RODOVIA BR 343 KM 10,S/N;;RODOVIA;TERESINA;PI;DIESEL S500;3,499;17/06/19 11:12;2020-04-21
1,42E+12;POSTO 10;RODOVIA BR 343 KM 10,S/N;;RODOVIA;TERESINA;PI;DIESEL S10;3,529;17/06/19 11:12;2020-04-21
1,42E+12;POSTO 10;RODOVIA BR 343 KM 10,S/N;;RODOVIA;TERESINA;PI;ETANOL;3,319;17/06/19 11:12;2020-04-21
1,44E+12;ROGER SOUZA DA SILVA;ESTRADA BR 293 KM 108,SN;;ZONA URBANA;PINHEIRO MACHADO;RS;GASOLINA C COMUM;4,799;14/06/19 18:23;2020-04-21
1,44E+12;ROGER SOUZA DA SILVA;ESTRADA BR 293 KM 108,SN;;ZONA URBANA;PINHEIRO MACHADO;RS;DIESEL S500;3,479;14/06/19 18:23;2020-04-21
1,44E+12;ROGER SOUZA DA SILVA;ESTRADA BR 293 KM 108,SN;;ZONA URBANA;PINHEIRO MACHADO;RS;DIESEL S10;3,549;14/06/19 18:23;2020-04-21
1,57E+12;AUTO POSTO MUTUM LTDA;RODOVIA BR 262,S/N;KM 175;ZONA RURAL;RIBAS DO RIO PARDO;MS;GASOLINA C COMUM;4,646;11/07/18 10:01;2020-04-21
1,57E+12;AUTO POSTO MUTUM LTDA;RODOVIA BR 262,S/N;KM 175;ZONA RURAL;RIBAS DO RIO PARDO;MS;ETANOL;3,456;11/07/18 10:01;2020-04-21
1,57E+12;AUTO POSTO MUTUM LTDA;RODOVIA BR 262,S/N;KM 175;ZONA RURAL;RIBAS DO RIO PARDO;MS;DIESEL S500;3,346;11/07/18 10:01;2020-04-21
1,57E+12;AUTO POSTO MUTUM LTDA;RODOVIA BR 262,S/N;KM 175;ZONA RURAL;RIBAS DO RIO PARDO;MS;DIESEL S10;3,406;11/07/18 10:01;2020-04-21
1,58E+12;AUTO POSTO RIO ARAGUAIA;RUA CORONEL GRIZORTE,802;;CENTRO;PAU D'ARCO;TO;GASOLINA C COMUM;4,99;29/05/19 13:54;2020-04-21
1,58E+12;AUTO POSTO RIO ARAGUAIA;RUA CORONEL GRIZORTE,802;;CENTRO;PAU D'ARCO;TO;DIESEL S500;3,8;29/05/19 13:54;2020-04-21
